brand,menu,category,calories,protein,fat,carbs,sodium,allergens,source_url,source_date,verified,allergen_known,image_url,description,media_source_url,media_checked_at,allergy_source_url,price,price_note,price_source_url,price_checked_at
이디야,(EX) 아망추 복숭아,음료,329.0,0.0,0.0,78.0,24.0,복숭아,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(EX) ICED 제로슈가 아샷추 복숭아,음료,60.0,1.0,0.0,0.0,1.0,복숭아,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(L) HOT 달달커피,음료,278.0,1.0,6.0,27.0,8.0,우유,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(L) HOT 화이트 초콜릿,음료,465.0,10.0,18.0,55.0,233.0,우유|대두,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(L) ICED 달고나 라떼,음료,349.0,7.0,5.0,51.0,159.0,우유,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,블루베리 시럽,음료,41.0,0.0,0.0,9.0,0.0,우유|대두,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(EX) ICED 미숫가루 라떼,음료,427.0,14.0,8.0,23.0,281.0,우유|대두|밀,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,냉동블루베리,음료,7.0,0.0,0.0,1.0,1.0,,https://ediya.com/contents/drink.html,2026-08-11,True,False,,,,,,,매장별 확인,,
이디야,초코 시럽,음료,27.0,0.0,0.0,5.0,8.0,,https://ediya.com/contents/drink.html,2026-08-11,True,False,,,,,,,매장별 확인,,
이디야,그래놀라,음료,60.0,1.0,2.0,2.0,10.0,,https://ediya.com/contents/drink.html,2026-08-11,True,False,,,,,,,매장별 확인,,
이디야,(EX) 블루베리주스,음료,438.0,11.0,7.0,64.0,166.0,우유|대두,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(EX) HOT 고구마 라떼,음료,505.0,15.0,11.0,58.0,312.0,우유,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(EX) HOT 초콜릿,음료,578.0,16.0,21.0,54.0,351.0,우유|대두,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,딸기쿠키 아이스크림,음료,271.0,4.0,6.0,23.0,86.0,계란|우유|대두|밀,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,브라운쿠키크럼블,음료,57.0,1.0,1.0,3.0,30.0,대두|밀|땅콩,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,멜로우 초코,음료,287.0,7.0,2.0,48.0,103.0,우유|대두|밀|돼지고기,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,치즈케익큐브,음료,53.0,1.0,2.0,3.0,48.0,계란|우유|돼지고기,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(EX) HOT 복분자 뱅쇼,음료,295.0,0.0,0.0,57.0,23.0,,https://ediya.com/contents/drink.html,2026-08-11,True,False,,,,,,,매장별 확인,,
이디야,이디야 사과주스,음료,115.0,0.0,0.0,27.0,20.0,,https://ediya.com/contents/drink.html,2026-08-11,True,False,,,,,,,매장별 확인,,
이디야,(EX) HOT 토피넛 라떼,음료,504.0,17.0,17.0,44.0,303.0,우유|대두|밀,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(L) ICED 제로슈가 아이스티 복숭아,음료,35.0,1.0,0.0,0.0,0.0,복숭아,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,인절미,음료,92.0,2.0,0.0,2.0,93.0,대두,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(L) 블루베리주스,음료,299.0,8.0,5.0,42.0,122.0,우유|대두,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(L) ICED 배모과차,음료,184.0,0.0,0.0,41.0,16.0,,https://ediya.com/contents/drink.html,2026-08-11,True,False,,,,,,,매장별 확인,,
이디야,(L) ICED 화이트 초콜릿,음료,403.0,7.0,15.0,50.0,186.0,우유|대두,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(EX) ICED 달고나 라떼,음료,460.0,9.0,7.0,66.0,203.0,우유,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,블랙쿠키분태,음료,47.0,1.0,1.0,3.0,29.0,대두|밀,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,타피오카펄,음료,121.0,0.0,0.0,5.0,15.0,,https://ediya.com/contents/drink.html,2026-08-11,True,False,,,,,,,매장별 확인,,
이디야,카라멜 크런치,음료,323.0,9.0,1.0,44.0,131.0,우유|대두|밀|땅콩,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(L) 말차 초코 쉐이크,음료,435.0,8.0,11.0,56.0,307.0,우유|대두,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(L) ICED 고구마 라떼,음료,292.0,8.0,6.0,35.0,173.0,우유,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(EX) ICED 초콜릿,음료,464.0,11.0,17.0,45.0,262.0,우유|대두,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,복숭아 베이스,음료,43.0,0.0,0.0,9.0,5.0,복숭아,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
